date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
8/4/2021,9,2670,9,180,0,35,0,2429,
8/1/2021,3,1515,2,116,0,35,4,1357,
11/5/2021,76,3537,110,833,0,35,0,2618,
20/8/2021,10657,321512,1093,165552,390,7538,0,8679,
26/2/2021,6,2428,2,548,0,35,35,1839,
2/6/2021,241,7814,229,4560,1,49,42,3083,
17/6/2021,379,13635,469,7287,0,61,63,5584,
31/7/2021,8605,144305,7833,107025,145,1304,0,8679,
5/3/2021,6,2496,6,527,0,35,0,1920,
25/11/2021,12191,1212999,0,0,166,24394,0,0,
20/10/2021,3612,914948,0,0,72,21410,0,8679,
4/11/2021,6528,1133785,0,0,59,22334,0,8679,
30/12/2020,2,1459,2,95,0,35,4,1323,
2/1/2021,8,1485,6,106,0,35,12,1337,
10/6/2020,0,343,0,12,0,0,4,322,
25/9/2021,9687,745027,0,0,179,18212,0,8679,
17/11/2021,9745,1090594,0,0,67,23324,0,0,
17/1/2021,0,1532,0,0,0,35,0,1373,
1/12/2020,5,1355,2,120,0,35,16,1195,
25/7/2021,7515,97676,8524,80307,0,370,0,8679,
2/12/2021,12889,1260218,0,0,201,25628,0,0,
15/12/2020,3,1408,3,115,0,35,6,1252,
5/10/2021,4312,861477,0,0,133,19975,0,8679,
28/11/2020,2,1345,2,124,0,35,9,1179,
30/6/2021,621,16873,593,9658,1,81,76,6874,
22/8/2021,11408,346339,8317,183141,737,8275,0,8679,
14/10/2020,9,1127,9,54,0,35,3,1030,
4/1/2021,3,1500,3,118,0,35,0,1339,
27/10/2020,3,1177,3,71,0,35,1,1063,
15/10/2020,2,1129,2,55,0,35,1,1031,
12/7/2020,2,378,2,22,0,0,0,352,
2/10/2020,1,1103,1,37,0,35,2,1022,
26/7/2021,7816,105492,5783,86084,152,522,0,8679,
15/5/2020,25,326,25,53,0,0,0,266,
1/1/2021,8,1477,9,110,0,35,0,1325,
9/1/2021,1,1516,1,113,0,35,4,1361,
18/5/2021,152,4512,162,1707,0,37,19,2687,
23/3/2021,1,2578,0,280,0,35,13,2246,
26/6/2020,1,359,1,23,0,0,1,332,
15/10/2021,3755,899454,0,0,93,21039,0,8679,
6/4/2021,11,2650,11,167,0,35,6,2422,
18/7/2021,2701,43439,5826,40726,29,254,0,8679,
31/7/2020,81,550,80,171,1,1,4,375,
10/12/2021,14484,1374061,0,0,216,27364,0,0,
3/2/2021,29,1913,0,0,0,35,1,1461,
21/5/2021,132,4941,124,2043,2,41,0,2689,
